analysis_id,v8uq5496uu2dtfr
parameter_id,MGP_PBI_034_001
gene_symbol,Bcs1l
parameter_name,B cell number
pvalue,0.5556522
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1914071
