parameter_name,CD8 CD44+CD62L- T cells
parameter_id,IMPC_IMM_032_001
pvalue,0.4149709
analysis_id,r2959z85f55401o
gene_symbol,Frmpd1
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:2446274
