analysis_id,455741054p36c2a
mouse_strain,C57BL
pvalue,0.1299132
parameter_id,IMPC_IMM_004_002
mouse_life_stage,Early adult
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
