parameter_name,NKT cells (panel A)
analysis_id,6zm96r97475w3v2
parameter_id,IMPC_IMM_004_001
pvalue,0.4191222
mouse_strain,C57BL
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
mouse_life_stage,E9.5
