parameter_id,JAXLA_GRS_011_001
gene_accession_id,MGI:105072
gene_symbol,Rab22a
pvalue,0.8572856
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
analysis_id,8ucv13737pim993
mouse_life_stage,Early adult
mouse_strain,C57BL
