parameter_name,Bone Area
analysis_id,yzu841l6dn5u05g
pvalue,0.5927077
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
gene_symbol,Rufy4
parameter_id,IMPC_DXA_010_001
mouse_strain,C57BL
