parameter_name,lens
pvalue,0.8017297
gene_accession_id,MGI:88174
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Bmi1
parameter_id,M-G-P_014_001_009
analysis_id,hu35u4h33a6q5c9
