gene_symbol,Kcng1
analysis_id,9yow605ou75g3w8
parameter_name,Coat - color - abdomen
parameter_id,JAXLA_CSD_007_001
pvalue,0.9492838
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
mouse_strain,C57BL
