parameter_name,Right kidney weight
mouse_life_stage,Early adult
analysis_id,64e3z76oy7c95dl
gene_accession_id,MGI:1332236
gene_symbol,CDS2
mouse_strain,129SV
pvalue,0.4992805
parameter_id,IMPC_OWT_004_001
