analysis_id,0298w68jvqz83vd
pvalue,0.9898648
gene_accession_id,MGI:2446274
mouse_strain,C57BL
gene_symbol,Frmpd1
parameter_name,Ulna
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_023_001
