parameter_id,HMGULA_DYS_024_001
gene_symbol,Car13
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1931322
analysis_id,aa0x12y1k120y3q
pvalue,0.9170331
parameter_name,Vibrissae - appearance
