gene_symbol,Casq1
gene_accession_id,MGI:1309468
pvalue,0.8546074
mouse_life_stage,Early adult
parameter_name,B2B Cells
mouse_strain,C57BL
analysis_id,805o6e59z575xxv
parameter_id,IMPC_IMM_065_001
