analysis_id,kx444lm2nt87yr6
gene_symbol,TBL1XR1
gene_accession_id,MGI:2441730
parameter_name,BMC/Body weight
parameter_id,JAXLA_DXA_007_001
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.3641919
