parameter_name,B cell number
gene_symbol,Rgs20
analysis_id,g5p57ta15m5si0a
pvalue,0.7257575
gene_accession_id,MGI:1929866
parameter_id,MGP_PBI_034_001
mouse_life_stage,Early adult
mouse_strain,C57BL
