parameter_name,Total holepokes
analysis_id,0t5gkl2vpeb3glp
gene_accession_id,MGI:2443129
pvalue,0.08081075
gene_symbol,Golm2
mouse_strain,C57BL
parameter_id,JAXLA_HBD_001_001
mouse_life_stage,Early adult
