parameter_id,MGP_MLN_021_001
analysis_id,e857zytpk40c862
pvalue,0.2141111
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_strain,C57BL
gene_symbol,Ola1
mouse_life_stage,Early adult
gene_accession_id,MGI:1914309
