gene_symbol,Dcaf12
pvalue,0.96718
mouse_strain,C57BL
analysis_id,2d1217zxq5qcudf
mouse_life_stage,Early adult
gene_accession_id,MGI:1916220
parameter_id,IMPC_ECH_008_001
parameter_name,LVIDd
