analysis_id,sg0fdfs291hoo15
pvalue,0.6058317
mouse_strain,C57BL
parameter_id,IMPC_XRY_002_001
parameter_name,Zygomatic bone
mouse_life_stage,Early adult
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
