analysis_id,r4ble11ps785199
pvalue,0.9890424
parameter_id,IMPC_GPO_002_001
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
parameter_name,Placenta Morphology
mouse_strain,C57BL
mouse_life_stage,Early adult
