analysis_id,ntl7hmzzsll14wp
gene_accession_id,MGI:109384
mouse_strain,C57BL
parameter_id,IMPC_CSD_079_001
parameter_name,Aggression
pvalue,0.07052309
mouse_life_stage,Early adult
gene_symbol,Atf3
