analysis_id,2p29h2svv6763n5
pvalue,0.5064077
parameter_id,MGP_IMM_011_001
gene_accession_id,MGI:1913105
parameter_name,Resting Treg cells - % of Treg
gene_symbol,Slc28a2
mouse_strain,C57BL
mouse_life_stage,Early adult
