gene_symbol,Npbwr1
parameter_id,MGP_CSD_064_001
pvalue,0.6680809
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:891989
parameter_name,Head morphology
analysis_id,1s5bdna10ht53v8
