analysis_id,c185n57kdkes11e
gene_symbol,Extl1
mouse_life_stage,Early adult
parameter_name,Sodium
parameter_id,IMPC_CBC_001_001
mouse_strain,C57BL
pvalue,0.8538572
gene_accession_id,MGI:1888742
