analysis_id,jvl45ys080g74l8
pvalue,0.7647646
mouse_life_stage,E9.5
parameter_id,MGP_IMM_007_001
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
