parameter_name,Femur
mouse_life_stage,Early adult
gene_symbol,Bmp7
analysis_id,u0x88i4k82i5424
parameter_id,IMPC_XRY_024_001
mouse_strain,C57BL
pvalue,1.480533
gene_accession_id,MGI:103302
