mouse_life_stage,E9.5
gene_accession_id,MGI:1914071
mouse_strain,C57BL
parameter_id,IMPC_OFD_009_001
parameter_name,Whole arena average speed
analysis_id,vh3uql42d3p31v4
pvalue,0.9755298
gene_symbol,Bcs1l
