parameter_name,% Freezing duration pre-cue-2
analysis_id,9t729m67dl89332
mouse_life_stage,Early adult
parameter_id,ICS_FEA_019_001
gene_accession_id,MGI:1929242
pvalue,0.8488405
gene_symbol,Ivd
mouse_strain,C57BL
