analysis_id,n312xp19x327y52
pvalue,0.6507975
mouse_life_stage,Early adult
parameter_id,MGP_IMM_026_001
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
mouse_strain,C57BL
gene_symbol,Rnf114
gene_accession_id,MGI:1933159
