parameter_name,Ulna
gene_symbol,Ncaph
parameter_id,IMPC_XRY_023_001
pvalue,0.8812536
mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
mouse_strain,C57BL
analysis_id,sd9qq365a40y2t7
