parameter_name,Retina (combined)
analysis_id,5t7oy5mh2n66b26
parameter_id,IMPC_EYE_092_001
mouse_strain,C57BL
gene_symbol,Mms22l
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
pvalue,1.435392
