parameter_name,Midbrain
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1916222
gene_symbol,Tatdn3
analysis_id,d5ua11u29pw94bn
parameter_id,IMPC_GEL_029_001
pvalue,0.5726303
