pvalue,0.4947863
analysis_id,l13txro89wx9l42
mouse_strain,C57BL
parameter_name,lens
gene_accession_id,MGI:2446274
parameter_id,M-G-P_014_001_009
gene_symbol,Frmpd1
mouse_life_stage,Middle aged adult
