analysis_id,vz67v5zt3052972
parameter_id,MGP_PBI_002_001
gene_symbol,Cmpk1
mouse_life_stage,Early adult
parameter_name,Alpha beta T cell percentage
pvalue,0.4159504
mouse_strain,C57BL
gene_accession_id,MGI:1913838
