analysis_id,4592j22v2924147
gene_symbol,Nipal3
parameter_id,M-G-P_013_001_001
gene_accession_id,MGI:1921802
pvalue,0.8795999
parameter_name,Eye
mouse_life_stage,Early adult
mouse_strain,129SV
