analysis_id,ohdqj2ud517955n
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP4
parameter_id,ESLIM_011_001_704
pvalue,0.5244312
gene_symbol,Atg4c
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
