analysis_id,582aa313j8ujw54
parameter_id,JAXLA_GRS_011_001
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_symbol,Bach2
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
mouse_strain,C57BL
pvalue,0.8422757
