gene_symbol,Mov10
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Shape of vertebrae
pvalue,0.8672795
analysis_id,e010rou9oeoyvua
parameter_id,IMPC_XRY_018_001
gene_accession_id,MGI:97054
