analysis_id,211kopbm0te8r8d
mouse_strain,C57BL
parameter_id,M-G-P_016_001_005
gene_symbol,Casq1
parameter_name,Mean-cell-volume
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
pvalue,0.3639558
