parameter_name,Platelet count
pvalue,0.9706924
parameter_id,IMPC_HEM_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
analysis_id,x3u977h5xs934zo
gene_symbol,Zcchc2
mouse_strain,C57BL
