parameter_name,Glucose response AUC
mouse_strain,C57BL
gene_symbol,Clvs1
pvalue,0.5140407
mouse_life_stage,Early adult
parameter_id,ESLIM_004_001_701
gene_accession_id,MGI:1921688
analysis_id,13106779bbdyl26
